iter,cost,risk,return,par,bw,X,Z,Q,pop_init,max_iter,pop_size,mem_size,mem_consider,par_min,par_max,bw_min,bw_max,sigma,lambda,port_n,k,seed,tag,local_search
3000,0.0484377872318044,0.10079,0.003914425536391212,0.28,1.132028532774118,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3100,0.0484377872318044,0.10079,0.003914425536391212,0.286,1.110755023279867,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3200,0.0484377872318044,0.10079,0.003914425536391212,0.292,1.08988129364372,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3300,0.0484377872318044,0.10079,0.003914425536391212,0.298,1.0693998310509725,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3400,0.0484377872318044,0.10079,0.003914425536391212,0.304,1.0493032638705824,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3500,0.0484377872318044,0.10079,0.003914425536391212,0.31,1.0295843590019953,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3600,0.0484377872318044,0.10079,0.003914425536391212,0.31599999999999995,1.0102360192718236,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3700,0.0484377872318044,0.10079,0.003914425536391212,0.32199999999999995,0.9912512808794552,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3800,0.0484377872318044,0.10079,0.003914425536391212,0.32799999999999996,0.9726233108906588,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
3900,0.0484377872318044,0.10079,0.003914425536391212,0.33399999999999996,0.9543454047782951,[0.         0.01646653 0.08079173 0.         0.04378505 0.         0.         0.         0.0800735  0.         0.         0.         0.         0.02089834 0.         0.         0.04955446 0.         0.01910863 0.06193406 0.         0.         0.         0.         0.         0.29516698 0.         0.33222073 0.         0.         0.        ],[0. 1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,best,10000,1000,100,0.7,0.1,0.7,0.3,2,0.3,0.5,1,10,42,base,
