iter,cost,return,par,move,X,Z,Q,max_iter,mem_size,mem_consider,sigma,port_n,k,seed,tag
310,0.07205963414758226,0.004150818857272651,0.5,0.07323027015955126,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
320,0.07205963414758226,0.004150818857272651,0.5,-3.7606921282461827,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
330,0.07205963414758226,0.004150818857272651,0.5,3.605063154396757,[0.         0.         0.01253729 0.02008007 0.         0.         0.         0.         0.         0.         0.01934308 0.01432801 0.82822072 0.         0.         0.         0.02329082 0.         0.         0.         0.         0.0144356  0.         0.         0.         0.         0.02451269 0.0236821  0.         0.01956962 0.        ],[0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
340,0.07045319357631363,0.009242941091205143,0.5,4.971515730001151,[0.         0.         0.01288709 0.         0.77804875 0.         0.03576371 0.0506985  0.         0.         0.01220287 0.         0.         0.         0.         0.         0.         0.         0.02129364 0.01303206 0.03058905 0.02568725 0.         0.         0.         0.01979708 0.         0.         0.         0.         0.        ],[0. 0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
350,0.05286665305941441,0.004416706312392624,0.5,-4.2607283733791235,[0.         0.         0.03015059 0.         0.         0.         0.         0.01416371 0.         0.         0.         0.         0.         0.01360462 0.         0.02365371 0.         0.         0.         0.         0.02722878 0.0153455  0.         0.         0.01516297 0.80738246 0.         0.02130182 0.03200585 0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
360,0.05286665305941441,0.004416706312392624,0.5,-0.560034874415996,[0.         0.         0.03015059 0.         0.         0.         0.         0.01416371 0.         0.         0.         0.         0.         0.01360462 0.         0.02365371 0.         0.         0.         0.         0.02722878 0.0153455  0.         0.         0.01516297 0.80738246 0.         0.02130182 0.03200585 0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
370,0.05286665305941441,0.004416706312392624,0.5,-3.6395664647826846,[0.         0.         0.03015059 0.         0.         0.         0.         0.01416371 0.         0.         0.         0.         0.         0.01360462 0.         0.02365371 0.         0.         0.         0.         0.02722878 0.0153455  0.         0.         0.01516297 0.80738246 0.         0.02130182 0.03200585 0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
380,0.05286665305941441,0.004416706312392624,0.5,2.250906732357516,[0.         0.         0.03015059 0.         0.         0.         0.         0.01416371 0.         0.         0.         0.         0.         0.01360462 0.         0.02365371 0.         0.         0.         0.         0.02722878 0.0153455  0.         0.         0.01516297 0.80738246 0.         0.02130182 0.03200585 0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
390,0.05286665305941441,0.004416706312392624,0.5,-4.19102075848119,[0.         0.         0.03015059 0.         0.         0.         0.         0.01416371 0.         0.         0.         0.         0.         0.01360462 0.         0.02365371 0.         0.         0.         0.         0.02722878 0.0153455  0.         0.         0.01516297 0.80738246 0.         0.02130182 0.03200585 0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
400,0.05286665305941441,0.004416706312392624,0.5,-0.2253296669814166,[0.         0.         0.03015059 0.         0.         0.         0.         0.01416371 0.         0.         0.         0.         0.         0.01360462 0.         0.02365371 0.         0.         0.         0.         0.02722878 0.0153455  0.         0.         0.01516297 0.80738246 0.         0.02130182 0.03200585 0.         0.        ],[0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 0. 0.],10.0,1000,100,0.5,3,1,10,67,tuning_sigma
